name,tab,start_time,end_time,path_to_file,parent,gain_db
Acabou Acabou Acabou,Felicidade,00:00:00.000,00:00:06.673,sounds/Felicidade/Acabou Acabou Acabou.mp3,,10.4
Acabou Acabou Acabou - part 1,Felicidade,00:00:00.000,00:00:01.668,sounds/Felicidade/Acabou Acabou Acabou.mp3,Acabou Acabou Acabou,10.0
Acabou Acabou Acabou - part 2,Felicidade,00:00:01.668,00:00:03.337,sounds/Felicidade/Acabou Acabou Acabou.mp3,Acabou Acabou Acabou,10.1
Acabou Acabou Acabou - part 3,Felicidade,00:00:03.337,00:00:05.005,sounds/Felicidade/Acabou Acabou Acabou.mp3,Acabou Acabou Acabou,10.4
Acabou Acabou Acabou - part 4,Felicidade,00:00:05.005,00:00:06.673,sounds/Felicidade/Acabou Acabou Acabou.mp3,Acabou Acabou Acabou,10.4
Acerto Mizeravi,Felicidade,00:00:00.000,00:00:01.802,sounds/Felicidade/Acerto Mizeravi.mp3,,-7.3
Acerto Mizeravi - part 1,Felicidade,00:00:00.000,00:00:00.451,sounds/Felicidade/Acerto Mizeravi.mp3,Acerto Mizeravi,-7.3
Acerto Mizeravi - part 2,Felicidade,00:00:00.451,00:00:00.901,sounds/Felicidade/Acerto Mizeravi.mp3,Acerto Mizeravi,-7.3
Acerto Mizeravi - part 3,Felicidade,00:00:00.901,00:00:01.352,sounds/Felicidade/Acerto Mizeravi.mp3,Acerto Mizeravi,-7.3
Acerto Mizeravi - part 4,Felicidade,00:00:01.352,00:00:01.802,sounds/Felicidade/Acerto Mizeravi.mp3,Acerto Mizeravi,-7.3
Bolsonaro - Imbroxavel,Felicidade,00:00:00.000,00:00:08.870,sounds/Felicidade/Bolsonaro - Imbroxavel.mp3,,2.1
Bolsonaro - Imbroxavel - part 1,Felicidade,00:00:00.000,00:00:02.217,sounds/Felicidade/Bolsonaro - Imbroxavel.mp3,Bolsonaro - Imbroxavel,1.7
Bolsonaro - Imbroxavel - part 2,Felicidade,00:00:02.217,00:00:04.435,sounds/Felicidade/Bolsonaro - Imbroxavel.mp3,Bolsonaro - Imbroxavel,1.8
Bolsonaro - Imbroxavel - part 3,Felicidade,00:00:04.435,00:00:06.652,sounds/Felicidade/Bolsonaro - Imbroxavel.mp3,Bolsonaro - Imbroxavel,2.1
Bolsonaro - Imbroxavel - part 4,Felicidade,00:00:06.652,00:00:08.870,sounds/Felicidade/Bolsonaro - Imbroxavel.mp3,Bolsonaro - Imbroxavel,2.1
Ele Fez De Novo,Felicidade,00:00:00.000,00:00:32.040,sounds/Felicidade/Ele Fez De Novo.mp3,,0.1
Ele Fez De Novo - part 1,Felicidade,00:00:00.000,00:00:08.010,sounds/Felicidade/Ele Fez De Novo.mp3,Ele Fez De Novo,-0.2
Ele Fez De Novo - part 2,Felicidade,00:00:08.010,00:00:16.020,sounds/Felicidade/Ele Fez De Novo.mp3,Ele Fez De Novo,-0.4
